nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;13807;Banque Populaire Grand Ouest;00038;NANTES ROND POINT DE PARIS;1, rue du Général Buat;47.201828,-1.593041
Banque Populaire;13807;Banque Populaire Grand Ouest;00041;AUDIERNE;1, rue du 14 Juillet;48.024415,-4.54101
Banque Populaire;10107;BRED-Banque Populaire;00137;PARIS PARMENTIER;10-12, ave Parmentier;48.859278,2.379635
Banque Populaire;17807;Banque Populaire Occitane;00007;MURET MERCADIEU;40, avenue de Pyrénées;43.458031,1.325039
Banque Populaire;17807;Banque Populaire Occitane;00009;TOULOUSE JOLIMONT;7, pl Commerciale Jolimont;43.613548,1.460993
Banque Populaire;16607;Banque Populaire du Sud;00360;CANET LES ALIZES;6, rue Neptune;42.702953,3.023412
Banque Populaire;13807;Banque Populaire Grand Ouest;00043;CONCARNEAU;2, place du Général de Gaulle;47.871937,-3.919456
Banque Populaire;10107;BRED-Banque Populaire;00152;PARIS VILLIERS;102, bd des Batignolles;48.881558,2.316738
Banque Populaire;13807;Banque Populaire Grand Ouest;00046;PONT L'ABBE;4, rue Jean Jaures;47.866896,-4.223798
Banque Populaire;13807;Banque Populaire Grand Ouest;00047;QUIMPER GARE;27 bis, ave de la Gare;47.994194,-4.09369
Banque Populaire;10107;BRED-Banque Populaire;00154;PARIS LA FAYETTE;74, rue La Fayette;48.876102,2.345198
Banque Populaire;17807;Banque Populaire Occitane;00018;FLEURANCE;7, pl de la République;43.849159,0.662894
Banque Populaire;16607;Banque Populaire du Sud;00001;CERET;16, ave Clemenceau;42.486737,2.750225
Banque Populaire;10107;BRED-Banque Populaire;00164;PARIS BELLEVILLE;397, rue des Pyrénées;48.87236,2.387125
Banque Populaire;17807;Banque Populaire Occitane;00023;PORTET SUR GARONNE;22, rue Robert Saintigny;43.521984,1.407653
Banque Populaire;17807;Banque Populaire Occitane;00025;TOULOUSE BASSO CAMBO;1, ave du Mirail;43.567371,1.39257
Banque Populaire;17807;Banque Populaire Occitane;00026;ST GAUDENS;85, rue de la République;43.108547,0.725119
Banque Populaire;17807;Banque Populaire Occitane;00027;ARGELES GAZOST;14, rue du Maréchal Foch;43.005901,-0.100327
Banque Populaire;16607;Banque Populaire du Sud;00009;BOURG MADAME;3, ave Emmanuel Brousse;42.435712,1.944725
Banque Populaire;16607;Banque Populaire du Sud;00012;PERPIGNAN JOFFRE;143, ave du Maréchal Joffre;42.712843,2.889222
Banque Populaire;13807;Banque Populaire Grand Ouest;00066;MACHECOUL;10, pl des Halles;46.991986,-1.819705
Banque Populaire;13807;Banque Populaire Grand Ouest;00068;PORNIC CENTRE;12, rue du Maréchal Foch;47.115808,-2.099522
Banque Populaire;13807;Banque Populaire Grand Ouest;00069;PORNIC EUROPE;Rue du Traité de Rome;47.124803,-2.122902
Banque Populaire;10107;BRED-Banque Populaire;00174;PARIS BEL AIR;31, rue du Rendez-Vous;48.845729,2.40298
Banque Populaire;16607;Banque Populaire du Sud;00013;RIVESALTES;7, ave Gambetta;42.76814,2.871242
Banque Populaire;16607;Banque Populaire du Sud;00015;CANET PLAGE;7, ave de la Méditerranée;42.694131,3.033721
Banque Populaire;13807;Banque Populaire Grand Ouest;00128;VANNES MENIMUR;22, pl Auffret;47.672671,-2.765733
Banque Populaire;10107;BRED-Banque Populaire;00178;PARIS ST MARTIN;33, bd Saint Martin;48.865308,2.353627
Banque Populaire;17807;Banque Populaire Occitane;00035;TOURNEFEUILLE;6, bd Vincent Auriol;43.584894,1.345172
Banque Populaire;13807;Banque Populaire Grand Ouest;00133;ST NAZAIRE OCEANE;5, pl Pierre Bourdan;47.26383,-2.23499
Banque Populaire;10107;BRED-Banque Populaire;00181;PARIS LOUVRE;24, rue du Louvre;48.861565,2.341273
Banque Populaire;10107;BRED-Banque Populaire;00182;PARIS GRANDES ECOLES;4, route de la Pyramide;48.819547,2.46226
Banque Populaire;17807;Banque Populaire Occitane;00042;BAGNERES DE BIGORRE;37, rue du Maréchal Foch;43.065082,0.150047
Banque Populaire;16607;Banque Populaire du Sud;00023;BOMPAS;5bis, ave Pasteur;42.731331,2.933204
Banque Populaire;13807;Banque Populaire Grand Ouest;00142;CROZON;21, rue Alsace Lorraine;48.246029,-4.490381
Banque Populaire;13807;Banque Populaire Grand Ouest;00144;CHATEAULIN;20, quai Carnot;48.196438,-4.094262
Banque Populaire;13807;Banque Populaire Grand Ouest;00190;AGENCE GRANDES ENTREPRISES NANTES;24, rue de la Rabotière;47.215359,-1.624982
Banque Populaire;10107;BRED-Banque Populaire;00202;NOGENT SUR MARNE BALTARD;1, ave de Joinville;48.835116,2.473673
Banque Populaire;17807;Banque Populaire Occitane;00044;CASTANET TOLOSAN;13, ave de Toulouse;43.516217,1.498494
Banque Populaire;17807;Banque Populaire Occitane;00047;TARBES LA PROVIDENCE;42 ter, rue Alsace Lorraine;43.246228,0.073215
Banque Populaire;16607;Banque Populaire du Sud;00028;MILLAS;46, ave Jean Jaurès;42.691878,2.6959
Banque Populaire;16607;Banque Populaire du Sud;00032;PORT LA NOUVELLE;193, bd du Monument aux Morts;43.020063,3.046425
Banque Populaire;13807;Banque Populaire Grand Ouest;00192;STE LUCE SUR LOIRE;2, rue du Maréchal de Lattre de Tassigny;47.249698,-1.487231
Banque Populaire;13807;Banque Populaire Grand Ouest;00223;PLOUAY;6, pl de l'Eglise;47.914628,-3.334311
Banque Populaire;10107;BRED-Banque Populaire;00210;BOULOGNE BILLANCOURT PRINCIPALE;78 bis, rte de la Reine;48.839752,2.240454
Banque Populaire;17807;Banque Populaire Occitane;00072;PLAISANCE DU TOUCH;Rue Pierre Loti;43.569582,1.308338
Banque Populaire;17807;Banque Populaire Occitane;00073;BLAGNAC MAIRIE;17, rue Prosper Ferradou;43.6348,1.39677
Banque Populaire;17807;Banque Populaire Occitane;00074;CASTELGINEST;14, rue du Pont Vieil;43.69174,1.427007
Banque Populaire;17807;Banque Populaire Occitane;00076;BALMA;6, ave de Toulouse;43.60953,1.49389
Banque Populaire;16607;Banque Populaire du Sud;00036;CASTELNAUDARY;33, rue de Dunkerque;43.317396,1.955018
Banque Populaire;10107;BRED-Banque Populaire;00211;BEZONS;72 bis, rue Edouard Vaillant;48.926625,2.213824
Banque Populaire;10107;BRED-Banque Populaire;00214;PARIS MIRABEAU;11-13, rue Gros;48.851247,2.277019
Banque Populaire;17807;Banque Populaire Occitane;00086;TOULOUSE LARDENNE;266, ave de Lardenne;43.590201,1.37855
Banque Populaire;13807;Banque Populaire Grand Ouest;00277;ARRADON;Immeuble Le Vinci;47.645456,-2.813827
Banque Populaire;13807;Banque Populaire Grand Ouest;00289;ST HERBLAIN;12, rue de l'Hôtel de Ville;47.211209,-1.64976
Banque Populaire;10107;BRED-Banque Populaire;00217;NEUILLY PLAISANCE;21, rue du Général de Gaulle;48.861575,2.506127
Banque Populaire;10107;BRED-Banque Populaire;00218;NOISY LE GRAND;167, rue Pierre Brossolette;48.848093,2.548331
Banque Populaire;16607;Banque Populaire du Sud;00043;NARBONNE STADE;25, ave Maître Hubert Mouly;43.180091,3.017815
Banque Populaire;16607;Banque Populaire du Sud;00044;RIEUX MINERVOIS;6, pl du Général Bousquet;43.282047,2.586919
