nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;10907;Banque Populaire Aquitaine Centre Atlantique;07009;Banque Populaire Aquitaine Centre Atlantique;10, quai des Queyries;44.842082,-0.562802
Banque Populaire;10107;BRED-Banque Populaire;00151;BAGNOLET BEL EST;28, ave du Général de Gaulle;48.865022,2.416916
Banque Populaire;16607;Banque Populaire du Sud;00065;LES ANGLES;4, ave de Mont-Louis;42.576123,2.074114
Banque Populaire;16607;Banque Populaire du Sud;00084;CARCASSONNE PONT ROUGE;13, rue de Magellan;43.236242,2.368868
Banque Populaire;16607;Banque Populaire du Sud;00237;BEZIERS VERDIER;7, ave Pierre Verdier;43.345392,3.236723
Banque Populaire;16607;Banque Populaire du Sud;00239;BEZIERS LA TREILLE;4, square des Volontaires Biterrois;43.354397,3.225818
Banque Populaire;16607;Banque Populaire du Sud;00421;AG COURNONSEC BDP;210, RUE DE LA BILIERE;43.551348,3.714385
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00037;THONON GRANGETTE;95, ave du Général de Gaulle;46.363895,6.463182
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00130;SUD BELLEDONNE ST MARTIN D'HERES;5-7, rue Beethoven;45.164524,5.752403
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00167;AGENCE ENTREPRISES VALENCE;42, ave des Langories;44.90392,4.904748
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00542;AGENCE ENTREPRISES LYON OUEST;5, rue Gorge de Loup;45.769961,4.804463
Banque Populaire;10207;Banque Populaire Rives de Paris;00003;IVRY SUR SEINE;97, ave Georges Gosnat;48.811649,2.385097
Banque Populaire;10207;Banque Populaire Rives de Paris;00017;CHOISY LE ROI;4, ave Anatole France;48.764857,2.409555
Banque Populaire;17807;Banque Populaire Occitane;00075;PINSAGUEL;94, rte d'Andorre;43.501799,1.391259
Banque Populaire;10207;Banque Populaire Rives de Paris;00089;IVRY SUR SEINE QUAIS D'IVRY;30, bd Paul Vaillant Couturier;48.819081,2.396567
Banque Populaire;14607;Banque Populaire Méditerranée;00337;VALBONNE SOPHIA ANTIPOLIS;630, route des Dolines;43.621787,7.037166
Banque Populaire;10207;Banque Populaire Rives de Paris;00318;GONESSE;1, ave Georges Pompidou;48.989772,2.43163
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00056;COTEAUX DU LIZON ST LUPICIN;2 ter, rue du Marché;46.399205,5.792011
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00478;MONTHOLON AILLANT SUR THOLON;31, rue Grande Saint Antoine;47.874725,3.350683
Banque Populaire;14607;Banque Populaire Méditerranée;00415;DRAGUIGNAN CHABRAN;57, avenue de la 1ère Armée;43.532417,6.471554
Banque Populaire;14607;Banque Populaire Méditerranée;00214;MONTEUX;9, ave de la Libération;44.033473,4.998165
Banque Populaire;14607;Banque Populaire Méditerranée;00247;TARASCON;3bis, rue des Charpentiers;43.79507,4.692651
Banque Populaire;14707;Banque Populaire Alsace Lorraine Champagne;00007;ST AVOLD;2, pl Saint Nabor;49.105026,6.708781
Banque Populaire;13507;Banque Populaire du Nord;00662;COQUELLES;20, bd du Parc;50.930131,1.807141
Banque Populaire;14707;Banque Populaire Alsace Lorraine Champagne;50825;MULHOUSE GARE;26, ave du Général Leclerc;47.743253,7.344321
Banque Populaire;13807;Banque Populaire Grand Ouest;00870;CHEMILLE-EN-ANJOU;1, rue Aristide Briand;47.238694,-0.724115
Banque Populaire;10107;BRED-Banque Populaire;00101;PARIS BASTILLE;8, rue Saint Antoine;48.853511,2.367499
Banque Populaire;13807;Banque Populaire Grand Ouest;00873;AGENCE PRO SAUMUR;71, rue du Pont Fouchard;47.249491,-0.09012
Banque Populaire;10107;BRED-Banque Populaire;00105;PARIS REPUBLIQUE;41 bis, bd Voltaire;48.864223,2.369665
Banque Populaire;10107;BRED-Banque Populaire;00106;PARIS MENILMONTANT;72, ave de la République;48.86438,2.378427
Banque Populaire;10107;BRED-Banque Populaire;00108;PARIS ST LAZARE;1, rue du Havre;48.874043,2.326782
Banque Populaire;10107;BRED-Banque Populaire;00111;PARIS LEDRU ROLLIN;111, ave Ledru Rollin;48.85297,2.376933
Banque Populaire;10107;BRED-Banque Populaire;00112;PARIS PLACE DE CLICHY;78, rue de Clichy;48.882654,2.32793
Banque Populaire;10107;BRED-Banque Populaire;00115;PARIS BRETAGNE;40, rue de Bretagne;48.863139,2.36228
Banque Populaire;13807;Banque Populaire Grand Ouest;00025;PLOERMEL;36, Place de l'Hotel de Ville;47.929848,-2.397503
Banque Populaire;10107;BRED-Banque Populaire;00119;LEVALLOIS PERRET LIBERATION;13, rue Greffulhe;48.894289,2.276669
Banque Populaire;13807;Banque Populaire Grand Ouest;00535;LES SABLES D''OLONNE PROFESSIONNELS;3, rue Octave Voyer;46.498414,-1.785205
Banque Populaire;10107;BRED-Banque Populaire;00128;PARIS CHARENTON;239/241, rue de Charenton;48.837272,2.39142
Banque Populaire;17807;Banque Populaire Occitane;00371;NAILLOUX;36 bis, rue de la République;43.358379,1.623578
Banque Populaire;16607;Banque Populaire du Sud;00359;MONTPELLIER SUD INNOVATION;396-418, rue du Mas de Verchant;43.619957,3.913125
Banque Populaire;16607;Banque Populaire du Sud;00305;COURSAN;30, Avenue de Toulouse;43.230158,3.052303
Banque Populaire;13807;Banque Populaire Grand Ouest;00032;NANTES EMILE ZOLA;4, bd de la Fraternité;47.214434,-1.585811
Banque Populaire;13807;Banque Populaire Grand Ouest;00033;ST NAZAIRE REPUBLIQUE;91, ave de la République;47.282262,-2.211619
Banque Populaire;10107;BRED-Banque Populaire;00130;PARIS KLEBER;82, ave Kléber;48.866801,2.28969
Banque Populaire;10107;BRED-Banque Populaire;00133;PARIS DIDEROT;39, bd Diderot;48.846563,2.378569
Banque Populaire;17807;Banque Populaire Occitane;00002;AUCH;6, pl de l'Ancien Foirail;43.648304,0.583558
Banque Populaire;17807;Banque Populaire Occitane;00005;TARBES VERDUN;28, pl de Verdun;43.233771,0.074066
Banque Populaire;16607;Banque Populaire du Sud;00347;GIGNAC;ZAE La Croix;43.650761,3.546085
Banque Populaire;13807;Banque Populaire Grand Ouest;00036;NANTES RACINE;5, pl Ladmirault;47.213606,-1.564104
Banque Populaire;10107;BRED-Banque Populaire;00138;PARIS FRIEDLAND;43, avenue de Friedland;48.873869,2.298077
Banque Populaire;17807;Banque Populaire Occitane;00008;TOULOUSE ST CYPRIEN;48-50, allée Charles de Fitte;43.597157,1.431568
Banque Populaire;16607;Banque Populaire du Sud;00364;MONTPELLIER SUD E POP;265, ave des Etats du Languedoc;43.607758,3.884824
Banque Populaire;13807;Banque Populaire Grand Ouest;00044;QUIMPER STEIR;6-8, quai du Steir;47.994679,-4.105583
Banque Populaire;17807;Banque Populaire Occitane;00010;AUCAMVILLE;79, route de Fronton;43.665625,1.429963
Banque Populaire;17807;Banque Populaire Occitane;00011;TOULOUSE MINIMES;102, ave des Minimes;43.621445,1.43549
Banque Populaire;17807;Banque Populaire Occitane;00013;TOULOUSE ESQUIROL;23, pl Esquirol;43.600253,1.445383
Banque Populaire;16607;Banque Populaire du Sud;00290;PATRIMONIALE PERPIGNAN CLEMENCEAU;38, bd Georges Clemenceau;42.700244,2.889174
Banque Populaire;16607;Banque Populaire du Sud;00361;NARBONNE ENTREPRISES;St Crescent;43.171459,2.991233
Banque Populaire;13807;Banque Populaire Grand Ouest;00051;ST BREVIN LES PINS;3, rue Albert Chassagne;47.247091,-2.165057
Banque Populaire;13807;Banque Populaire Grand Ouest;00052;NANTES ROND POINT RENNES;6, bd Lelasseur;47.233153,-1.566372
Banque Populaire;10107;BRED-Banque Populaire;00155;PARIS EST CERCLE PATRIMONIAL;14, rue Jaucourt;48.84713,2.394952
Banque Populaire;17807;Banque Populaire Occitane;00015;LANNEMEZAN;2, pl de la République;43.125368,0.38446
Banque Populaire;17807;Banque Populaire Occitane;00017;TOULOUSE DUPUY;18, pl Dupuy;43.599325,1.454689
Banque Populaire;16607;Banque Populaire du Sud;00002;ELNE;76, rte Nationale;42.601925,2.970525
Banque Populaire;16607;Banque Populaire du Sud;00003;ILLE SUR TET;85, ave Pasteur;42.671168,2.621998
Banque Populaire;13807;Banque Populaire Grand Ouest;00055;ST SEBASTIEN SUR LOIRE;9, rue Maurice Daniel;47.207039,-1.504997
Banque Populaire;13807;Banque Populaire Grand Ouest;00056;PONTCHATEAU;1, rue du Bouffay;47.436604,-2.089878
Banque Populaire;17807;Banque Populaire Occitane;00019;TOULOUSE PONT DEMOISELLES;2, ave Saint Exupéry;43.587437,1.461077
Banque Populaire;17807;Banque Populaire Occitane;00021;CUGNAUX;16, pl de l'Eglise;43.536743,1.344178
Banque Populaire;16607;Banque Populaire du Sud;00008;LE PERTHUS;27, ave de France;42.464693,2.863204
Banque Populaire;13807;Banque Populaire Grand Ouest;00057;NORT SUR ERDRE;5, rue du Général Leclerc;47.439504,-1.499064
Banque Populaire;13807;Banque Populaire Grand Ouest;00058;NANTES PONT DU CENS;40, rte de Rennes;47.250505,-1.576637
Banque Populaire;13807;Banque Populaire Grand Ouest;00059;CLISSON;32, ave du Général Leclerc;47.085568,-1.283921
Banque Populaire;13807;Banque Populaire Grand Ouest;00061;CARQUEFOU;9, rue André Maurois;47.296147,-1.49085
Banque Populaire;10107;BRED-Banque Populaire;00168;PARIS MAUBEUGE;80, rue de Maubeuge;48.879199,2.348191
Banque Populaire;10107;BRED-Banque Populaire;00169;PARIS ST PHILIPPE DU ROULE;40, rue La Boétie;48.873727,2.314189
Banque Populaire;17807;Banque Populaire Occitane;00024;TOULOUSE BONNEFOY;46, faubourg Bonnefoy;43.61828,1.455833
Banque Populaire;16607;Banque Populaire du Sud;00010;FONT ROMEU;7, ave E Brousse;42.50416,2.039249
Banque Populaire;16607;Banque Populaire du Sud;00011;PERPIGNAN CASSANYES;2, bd Aristide Briand;42.71259,2.885033
Banque Populaire;13807;Banque Populaire Grand Ouest;00063;NANTES STE THERESE;90 bd des américains;47.232933,-1.576413
Banque Populaire;10107;BRED-Banque Populaire;00172;PARIS CHATEAUDUN;6, rue Saint Lazare;48.876913,2.338576
Banque Populaire;10107;BRED-Banque Populaire;00175;PARIS OPERA;1, rue Auber;48.871145,2.33146
Banque Populaire;17807;Banque Populaire Occitane;00032;TOULOUSE CROIX DE PIERRE;2, bd Déodat de Sèverac;43.58567,1.428104
Banque Populaire;17807;Banque Populaire Occitane;00033;RAMONVILLE ST AGNE MARNAC;2, pl Marnac;43.547164,1.477691
Banque Populaire;17807;Banque Populaire Occitane;00034;MOISSAC;18, rue de la République;44.104154,1.084731
Banque Populaire;16607;Banque Populaire du Sud;00014;LE BOULOU;8, rue de la République;42.525668,2.834688
Banque Populaire;13807;Banque Populaire Grand Ouest;00070;SAVENAY;1, rue Hoche;47.359732,-1.945206
Banque Populaire;10107;BRED-Banque Populaire;00177;PARIS HOTEL DE VILLE;33, rue de Rivoli;48.857629,2.350588
Banque Populaire;10107;BRED-Banque Populaire;00179;PARIS NIEL;29 ter, rue Pierre Demours;48.8814,2.294712
Banque Populaire;17807;Banque Populaire Occitane;00036;ST ORENS DE GAMEVILLE;36, ave de Gameville;43.553145,1.533002
Banque Populaire;16607;Banque Populaire du Sud;00020;ST ESTEVE;Ave de Baixas Espace Pyrène;42.71706,2.84142
Banque Populaire;17807;Banque Populaire Occitane;00040;REVEL;21, bd de la République;43.45988,2.003204
Banque Populaire;16607;Banque Populaire du Sud;00026;COLLIOURE;19, rue de la République;42.524801,3.082535
Banque Populaire;16607;Banque Populaire du Sud;00027;AMELIE LES BAINS;33, ave du Vallespir;42.47343,2.668479
Banque Populaire;10107;BRED-Banque Populaire;00201;ALFORTVILLE;156, rue Paul Vaillant Couturier;48.805954,2.418619
Banque Populaire;17807;Banque Populaire Occitane;00045;ST JEAN DE L'UNION;13-14, allée Victor Hugo;43.664095,1.500582
Banque Populaire;17807;Banque Populaire Occitane;00046;TARBES ODOS;85, ave Aristide Briand;43.219904,0.05956
Banque Populaire;16607;Banque Populaire du Sud;00029;BANYULS SUR MER;3, ave Général de Gaulle;42.480207,3.129156
Banque Populaire;16607;Banque Populaire du Sud;00030;NARBONNE REPUBLIQUE;35, cours de la République;43.182439,3.006249
Banque Populaire;10107;BRED-Banque Populaire;00204;CRETEIL SOLEIL;Ctre Cial;48.789517,2.447992
Banque Populaire;10107;BRED-Banque Populaire;00205;BOULOGNE BILLANCOURT EGLISE;1, bd Jean Jaurès;48.845778,2.237156
Banque Populaire;16607;Banque Populaire du Sud;00033;LEZIGNAN CORBIERES;19, cours de la République;43.200819,2.757925
Banque Populaire;10107;BRED-Banque Populaire;00212;PUTEAUX;2, pl de Stalingrad;48.88263,2.239608
Banque Populaire;17807;Banque Populaire Occitane;00085;FRONTON;45, ave de Toulouse;43.837008,1.389436
Banque Populaire;16607;Banque Populaire du Sud;00037;TREBES;2, ave Pierre Curie;43.209839,2.443106
Banque Populaire;16607;Banque Populaire du Sud;00040;CARCASSONNE ROOSEVELT;169, ave F. Roosevelt;43.223026,2.336121
Banque Populaire;10107;BRED-Banque Populaire;00216;JOINVILLE LE PONT POLANGIS;29, ave Galliéni;48.820157,2.478071
Banque Populaire;10107;BRED-Banque Populaire;00219;ROSNY SOUS BOIS;5, pl Carnot;48.873775,2.482668
Banque Populaire;17807;Banque Populaire Occitane;00089;TOULOUSE BARRIERE DE LOMBEZ;70, ave de Lombez;43.595335,1.416454
Banque Populaire;17807;Banque Populaire Occitane;00101;TOULOUSE JEANNE D'ARC;1, pl Jeanne d'Arc;43.60893,1.445863
Banque Populaire;10107;BRED-Banque Populaire;00221;CHAMPIGNY SUR MARNE MAIRIE;87, rue Jean Jaurès;48.81399,2.509692
Banque Populaire;17807;Banque Populaire Occitane;00104;MONTAUBAN ST MICHEL;83, ave Charles de Gaulle;44.009395,1.368847
Banque Populaire;17807;Banque Populaire Occitane;00107;MURET EUROPE;54 ter ave Jacques Douzans;43.469096,1.329124
Banque Populaire;17807;Banque Populaire Occitane;00108;TOULOUSE PURPAN;297, ave de Grande Bretagne;43.607611,1.397804
Banque Populaire;17807;Banque Populaire Occitane;00109;TOULOUSE JEAN CHAUBET;2, Impasse Jean Chaubet;43.605543,1.481471
Banque Populaire;13807;Banque Populaire Grand Ouest;00432;HERBIGNAC;26, bd de la Brière;47.448031,-2.314084
Banque Populaire;10107;BRED-Banque Populaire;00226;ST MAUR DES FOSSES HOTEL DE VILLE;24, ave de la République;48.802307,2.485973
Banque Populaire;13807;Banque Populaire Grand Ouest;00455;VERTOU;Pl du Beau Verger;47.169312,-1.473183
Banque Populaire;10107;BRED-Banque Populaire;00229;LES LILAS;2, bd de la Liberté;48.881454,2.428694
Banque Populaire;10107;BRED-Banque Populaire;00230;BAGNOLET;2, rue Hoche;48.868939,2.417604
Banque Populaire;10107;BRED-Banque Populaire;00231;BOIS COLOMBES;4, pl Gabriel Péri;48.913631,2.272616
Banque Populaire;10107;BRED-Banque Populaire;00232;LE PERREUX SUR MARNE;123, ave du Général de Gaulle;48.842091,2.504726
Banque Populaire;16607;Banque Populaire du Sud;00056;MIREPOIX;45, pl du Maréchal Leclerc;43.088199,1.874908
Banque Populaire;13807;Banque Populaire Grand Ouest;00487;ST JULIEN DE CONCELLES;2, rue du Stade;47.254572,-1.385992
Banque Populaire;13807;Banque Populaire Grand Ouest;00490;QUESTEMBERT;Pl de la Libération;47.660939,-2.453041
Banque Populaire;10107;BRED-Banque Populaire;00234;VINCENNES RIGOLLOTS;138, rue Defrance;48.849263,2.455795
Banque Populaire;10107;BRED-Banque Populaire;00236;CRETEIL ECHAT;68-70, ave du Général de Gaulle;48.794766,2.44793
Banque Populaire;17807;Banque Populaire Occitane;00127;LUZ ST SAUVEUR;Ave Saint Sauveur;42.870908,-0.006966
Banque Populaire;16607;Banque Populaire du Sud;00062;LE SOLER;1, ave Jean Jaurès;42.681661,2.794331
Banque Populaire;13807;Banque Populaire Grand Ouest;00495;FOUESNANT;5, rue de Cornouaille;47.894337,-4.010659
Banque Populaire;10107;BRED-Banque Populaire;00239;CHENNEVIERES SUR MARNE;Ctre Cial du Moulin;48.804408,2.539865
Banque Populaire;10107;BRED-Banque Populaire;00241;MAISONS ALFORT ECOLE VETERINAIRE;63, ave du Général Leclerc;48.813456,2.426809
Banque Populaire;17807;Banque Populaire Occitane;00215;BOULOGNE SUR GESSE;54-56, pl de la Mairie;43.290212,0.645769
Banque Populaire;10107;BRED-Banque Populaire;00244;LEVALLOIS PERRET HOTEL DE VILLE;64, rue du Président Wilson;48.892907,2.289699
Banque Populaire;17807;Banque Populaire Occitane;00218;CONDOM;4, pl du Lion d'Or;43.957368,0.371761
Banque Populaire;17807;Banque Populaire Occitane;00226;BAGNERES DE LUCHON;1, ave Carnot;42.791679,0.591245
Banque Populaire;17807;Banque Populaire Occitane;00234;VALENCE D'AGEN;Pl Nationale;44.10708,0.890456
Banque Populaire;16607;Banque Populaire du Sud;00081;CABESTANY;Ctre Cial ZAM Las Molimas;42.677155,2.94487
Banque Populaire;10107;BRED-Banque Populaire;00247;NOISY LE GRAND RICHARD;102, ave Médéric;48.829088,2.567753
Banque Populaire;10107;BRED-Banque Populaire;00248;ASNIERES SUR SEINE GARE;4, rue de la Station;48.906593,2.284893
Banque Populaire;17807;Banque Populaire Occitane;00237;RABASTENS DE BIGORRE;24, pl Centrale;43.387866,0.151183
Banque Populaire;17807;Banque Populaire Occitane;00304;MONTAUBAN RIVE GAUCHE;99, ave Aristide Briand;44.016737,1.34429
Banque Populaire;17807;Banque Populaire Occitane;00315;SAINT LARY;35, rue Vincent MIR;42.816944,0.322532
Banque Populaire;16607;Banque Populaire du Sud;00085;PRATS DE MOLLO;11, rue Porte de France;42.403907,2.478969
Banque Populaire;16607;Banque Populaire du Sud;00087;PERPIGNAN MAS ROUS;rue Paul Joseph Barthez;42.682571,2.875058
Banque Populaire;13807;Banque Populaire Grand Ouest;00803;SAUMUR VOLNEY;8, rue Volney;47.257009,-0.079044
Banque Populaire;13807;Banque Populaire Grand Ouest;00804;LA ROCHE SUR YON LAFAYETTE;11, rue Lafayette;46.669383,-1.422563
Banque Populaire;13807;Banque Populaire Grand Ouest;00809;FONTENAY LE COMTE;9, rue de la république;46.465793,-0.804922
Banque Populaire;10107;BRED-Banque Populaire;00262;MONTREUIL BOISSIERE;233, bd Aristide Briand;48.876894,2.456422
Banque Populaire;10107;BRED-Banque Populaire;00263;LE PLESSIS TREVISE;7 bis-7 ter, ave Ardouin;48.811249,2.57198
Banque Populaire;17807;Banque Populaire Occitane;00381;RISCLE;1, pl de la Libération;43.657154,-0.08696
Banque Populaire;17807;Banque Populaire Occitane;00392;TOURNEFEUILLE ARC EN CIEL;22, bd Vincent Auriol;43.586643,1.348369
Banque Populaire;13807;Banque Populaire Grand Ouest;00814;CHALLANS;11, pl du Général de Gaulle;46.846297,-1.879243
Banque Populaire;13807;Banque Populaire Grand Ouest;00815;SEGRE;8, rue Lazare Carnot;47.683961,-0.87052
Banque Populaire;13807;Banque Populaire Grand Ouest;00816;LES HERBIERS;7, rue Nationale;46.870876,-1.011946
Banque Populaire;10107;BRED-Banque Populaire;00270;SURESNES HOTEL DE VILLE;18, pl du Général Leclerc;48.869503,2.226649
Banque Populaire;17807;Banque Populaire Occitane;00408;MONTAUBAN LE ROND;8, pl de la Libération;44.021904,1.361367
Banque Populaire;17807;Banque Populaire Occitane;00409;GRISOLLES;20, rue Adrien Hébrard;43.827781,1.296628
Banque Populaire;16607;Banque Populaire du Sud;00222;PRIVAS;19, cours du Palais;44.734528,4.600748
Banque Populaire;16607;Banque Populaire du Sud;00223;VALLON PONT D'ARC;Ave Jean Jaurès;44.406104,4.391872
Banque Populaire;13807;Banque Populaire Grand Ouest;00821;CHALONNES SUR LOIRE;12, pl du Pilori;47.352048,-0.760817
Banque Populaire;10107;BRED-Banque Populaire;00276;ST MAUR THEATRE;110, bd de Créteil;48.798041,2.485418
Banque Populaire;17807;Banque Populaire Occitane;00464;VILLEFRANCHE DE ROUERGUE LES IMBERTS;Rte de Montauban;44.360592,2.008862
Banque Populaire;10107;BRED-Banque Populaire;00284;COURBEVOIE;8, rue de l'Abreuvoir;48.891318,2.254806
Banque Populaire;16607;Banque Populaire du Sud;00238;SETE LES METAIRIES;Ctre Cial;43.407094,3.6887
Banque Populaire;10107;BRED-Banque Populaire;00285;COURBEVOIE BECON;46, ave Pasteur;48.9044,2.269325
Banque Populaire;10107;BRED-Banque Populaire;00286;SURESNES JARDINS;3, place de la Halle;48.863458,2.210194
Banque Populaire;17807;Banque Populaire Occitane;00602;GAILLAC;56, pl de la Libération;43.900078,1.897434
Banque Populaire;13807;Banque Populaire Grand Ouest;00838;BEAUFORT EN VALLEE;8, pl Boucicault;47.44074,-0.215933
Banque Populaire;13807;Banque Populaire Grand Ouest;00843;AIZENAY;10, rue de l'Hôtel de Ville;46.739995,-1.607973
Banque Populaire;10107;BRED-Banque Populaire;00300;SOISSONS;13, rue Saint Martin;49.377555,3.328747
Banque Populaire;16607;Banque Populaire du Sud;00253;MONTPELLIER ALCO;211, rue Marius Carrieu;43.616442,3.84157
Banque Populaire;16607;Banque Populaire du Sud;00254;MONTPELLIER SUD;79, ave de Palavas;43.610022,3.860782
Banque Populaire;13807;Banque Populaire Grand Ouest;00848;LA ROCHE SUR YON SUD;151, rue Duchesne de Denant;46.647922,-1.434756
Banque Populaire;17807;Banque Populaire Occitane;00615;ESPALION;13, bd de Guizard;44.523597,2.764419
Banque Populaire;16607;Banque Populaire du Sud;00256;BPS MONTPELLIER CHATEAU D'Ô;67, rue DUGAY-TROUIN;43.625202,3.837723
Banque Populaire;13807;Banque Populaire Grand Ouest;00856;ST BARTHELEMY D'ANJOU;7, rte d'Angers;47.46851,-0.507371
Banque Populaire;13807;Banque Populaire Grand Ouest;00861;LES ESSARTS;34, rue des Sables;46.766478,-1.235748
Banque Populaire;10107;BRED-Banque Populaire;00312;BRY SUR MARNE;48, Grande Rue Charles de Gaulle;48.837514,2.520907
Banque Populaire;10107;BRED-Banque Populaire;00316;CAEN COURTONNE;23-25, rue des Prairies Saint Gilles;49.184528,-0.356774
Banque Populaire;10107;BRED-Banque Populaire;00318;LAGNY SUR MARNE;115, rue Saint Denis;48.878525,2.705567
Banque Populaire;10107;BRED-Banque Populaire;00321;MELUN ST JEAN;4, pl Saint Jean;48.538964,2.662155
Banque Populaire;17807;Banque Populaire Occitane;00624;LACROUZETTE;22, ave de Castres;43.662385,2.346318
Banque Populaire;10107;BRED-Banque Populaire;00325;FECAMP;14, pl Charles de Gaulle;49.757412,0.376379
Banque Populaire;10107;BRED-Banque Populaire;00328;BOIS GUILLAUME;123, rue de la République;49.47013,1.118225
Banque Populaire;17807;Banque Populaire Occitane;00633;BARAQUEVILLE;264, ave du Centre;44.277076,2.434105
Banque Populaire;17807;Banque Populaire Occitane;00651;CASTRES ALBINQUE;20 ter, Place Pierre Fabre;43.60907,2.239031
Banque Populaire;16607;Banque Populaire du Sud;00271;MENDE;11, bd Henri Bourillon;44.516384,3.49757
Banque Populaire;16607;Banque Populaire du Sud;00272;MARVEJOLS;16, bd de Chambrun;44.553053,3.292528
Banque Populaire;16607;Banque Populaire du Sud;00273;FLORAC;68 bis, ave Jean Monestier;44.32611,3.594032
Banque Populaire;10107;BRED-Banque Populaire;00334;GRETZ ARMAINVILLIERS;46, rue de Paris;48.740905,2.736752
Banque Populaire;10107;BRED-Banque Populaire;00336;MONTEREAU;11, rue Jean Jaurès;48.386243,2.957434
Banque Populaire;16607;Banque Populaire du Sud;00283;LUNEL LES PORTES DE LA MER;Ctre Cial;43.676382,4.135711
Banque Populaire;13807;Banque Populaire Grand Ouest;00625;L''AIGUILLON SUR MER;place du Docteur Giraudet;46.334362,-1.30762
Banque Populaire;17807;Banque Populaire Occitane;00655;ST JUERY;20, ave Germain Tequi;43.949397,2.210737
Banque Populaire;10107;BRED-Banque Populaire;00342;MELUN ST AMBROISE;33, rue Saint Ambroise;48.533326,2.656671
Banque Populaire;10107;BRED-Banque Populaire;00344;PROVINS;16, rue Hugues le Grand;48.559484,3.30071
Banque Populaire;17807;Banque Populaire Occitane;00661;LABRUGUIERE;9, bd de la République;43.538733,2.263651
Banque Populaire;17807;Banque Populaire Occitane;00664;ALBI MALADRERIE;1, rue de Rudel;43.926053,2.130499
Banque Populaire;17807;Banque Populaire Occitane;00665;MILLAU INDUSTRIE;Pl des Martyrs de la Résistance;44.094292,3.07399
Banque Populaire;17807;Banque Populaire Occitane;00667;VABRES L'ABBAYE;Parc d'Activités du Bourguet;43.944286,2.837244
Banque Populaire;17807;Banque Populaire Occitane;00669;CASTRES SIDOBRE;Ave du Sidobre;43.610229,2.261344
Banque Populaire;17807;Banque Populaire Occitane;00670;REALMONT;8, bd Armengaud;43.774797,2.188399
Banque Populaire;16607;Banque Populaire du Sud;00329;AIGUES MORTES;1121, rte de Nîmes;43.577397,4.199403
Banque Populaire;16607;Banque Populaire du Sud;00330;ST MATHIEU DE TREVIERS;Ave de la République de Montferrand;43.766137,3.863458
Banque Populaire;13807;Banque Populaire Grand Ouest;00599;MUZILLAC;3 place Saint Julien;47.553871,-2.481956
Banque Populaire;10107;BRED-Banque Populaire;00350;LE HAVRE ROND POINT;171, cours de la République;49.499855,0.129317
Banque Populaire;10107;BRED-Banque Populaire;00351;LE HAVRE SANVIC;273, rue de la Cavée Verte;49.506959,0.120433
Banque Populaire;10107;BRED-Banque Populaire;00353;PONTHIERRY;61, ave de Fontainebleau;48.529644,2.545269
Banque Populaire;10107;BRED-Banque Populaire;00354;LA FERTE SOUS JOUARRE;7, rue Michel Fauvet;48.950031,3.128837
Banque Populaire;13807;Banque Populaire Grand Ouest;00869;FONTENAY LE CTE ST-MEDARD;96, ave du Pdt François Mitterand;46.451572,-0.8078
Banque Populaire;13807;Banque Populaire Grand Ouest;10635;PERROS GUIREC;2 rue de la Poste;48.81556,-3.444116
Banque Populaire;10107;BRED-Banque Populaire;00358;CHELLES;7, ave de la Résistance;48.87828,2.587241
Banque Populaire;16607;Banque Populaire du Sud;00337;CARCASSONNE PECH MARY;Rue Camille Flammarion;43.208437,2.386955
Banque Populaire;10107;BRED-Banque Populaire;00359;CAEN VAUCELLES;26, rue de la Falaise;49.17298,-0.354527
Banque Populaire;10107;BRED-Banque Populaire;00361;LOUVIERS;29, rue du Maréchal Foch;49.212002,1.170251
Banque Populaire;16607;Banque Populaire du Sud;00342;ST CHRISTOL LES ALES;211, ave Jean Moulin;44.082047,4.077689
Banque Populaire;16607;Banque Populaire du Sud;00345;BEZIERS POLYGONE;3, Carrefour de l'Hours - Lot 103;43.335737,3.225228
Banque Populaire;10107;BRED-Banque Populaire;00369;CAEN ST ETIENNE;52, rue Ecuyère;49.181999,-0.370175
Banque Populaire;17807;Banque Populaire Occitane;00807;GOURDON;17, allée de la République;44.735728,1.381839
Banque Populaire;16607;Banque Populaire du Sud;00348;BAGNOLS LE LOUVRE;5,  pl Jean Jaurès;44.165448,4.619589
Banque Populaire;16607;Banque Populaire du Sud;00410;AG SETE BDP;10, RUE GENERAL DE GAULLE;43.404176,3.695592
Banque Populaire;10107;BRED-Banque Populaire;00379;ELBEUF;1, rue des Martyrs de la Résistance;49.287207,1.008492
Banque Populaire;17807;Banque Populaire Occitane;00817;CAPDENAC GARE;12, ave Charles de Gaulle;44.576668,2.078337
Banque Populaire;13807;Banque Populaire Grand Ouest;10963;LA TURBALLE CM;45, rue du Maréchal Leclerc;47.347513,-2.50944
Banque Populaire;10107;BRED-Banque Populaire;00383;PONTAULT COMBAULT;134-136, ave de la République;48.799922,2.607669
