code_etab;nom_etab;code_agence;nom_agence;rue;nom_banque;place_id;rating;user_ratings_total;lat_lng
14707;Banque Populaire Alsace Lorraine Champagne;04909;TINQUEUX;Ctre Cial Carrefour;Banque Populaire;ChIJ5zdwZN106UcRxkAJYcUbKKw;2.4;16.0;49.2539144,3.9797994
13825;RHONE ALPES;30643;VILLE LA GRAND;13 BIS, RUE DES VOIRONS;Caisse d'Epargne;ChIJ4SmpR9NvjEcRuhjmJm3moxw;2.3;16.0;46.2028942,6.2512606
17515;ILE DE FRANCE;666;VÉLIZY-LE-MAIL;CENTRE COMMERCIAL LE MAIL;Caisse d'Epargne;ChIJ0x0-VAd85kcRrHEesCNC5fI;2.0;16.0;48.7849169,2.1826542
13335;AQUITAINE POITOU-CHARENTES;86114;LA ROCHELLE TEMPLE;38, BIS RUE DU TEMPLE;Caisse d'Epargne;ChIJdXcvmKVTAUgRjeBWRZgEMXg;3.5;16.0;46.1586772,-1.1534492
13485;LANGUEDOC ROUSSILLON;113;MARGUERITTES;19, AVENUE FERDINAND PERTUS;Caisse d'Epargne;ChIJLwBtMYHNtRIRqPy9Zu00ytU;1.6;16.0;43.8608885,4.4440322
10107;BRED-Banque Populaire;00371;OZOIR LA FERRIERE;17, avenue du Général Leclerc;Banque Populaire;ChIJ7e5d7XsG5kcRqURbaB60tAs;4.1;16.0;48.7654052,2.6728508
14607;Banque Populaire Méditerranée;00367;LA GARDE;74, avenue Marx Dormoy;Banque Populaire;ChIJXzB--w0ZyRIRDOqBQmT1J7g;2.8;16.0;43.1239672,6.0092159
16275;HAUTS DE FRANCE;60521;THOUROTTE;1 RUE JEAN JAURES;Caisse d'Epargne;ChIJxwpwBeLX50cRwBcluuC35xc;3.1;16.0;49.4775014,2.8806754
16607;Banque Populaire du Sud;00040;CARCASSONNE ROOSEVELT;169, ave F. Roosevelt;Banque Populaire;ChIJZX0zjzMsrhIRNuZKcLJdzKs;1.7;16.0;43.2228815,2.3360110
17515;ILE DE FRANCE;428;FONTENAY-TRÉSIGNY;27, AVENUE DU GÉNÉRAL DE GAULLE;Caisse d'Epargne;ChIJF6sIRhSr6EcRVLtJoUzO5KQ;2.7;16.0;48.7066982,2.8681286
10207;Banque Populaire Rives de Paris;00311;GOUSSAINVILLE;1 bis, bd Roger Salengro;Banque Populaire;ChIJxch1tvU_5kcR5Ajh6aXe4iY;2.8;16.0;49.0312690,2.4744842
17807;Banque Populaire Occitane;00044;CASTANET TOLOSAN;13, ave de Toulouse;Banque Populaire;ChIJ0e4kxku-rhIRSQMlLyGmmXw;3.0;16.0;43.5162572,1.4986914
17515;ILE DE FRANCE;160;LA VARENNE SAINT-HILAIRE;81 BIS, AVENUE DU BAC;Caisse d'Epargne;ChIJ3a2v7EEM5kcRYs9jSdHDK_c;2.1;16.0;48.7935349,2.5147182
13825;RHONE ALPES;30297;LE PEAGE DE ROUSSILLON;26, PLACE PAUL MORAND;Caisse d'Epargne;ChIJl0VCnHEY9UcR2KIJ5SSpW3U;3.1;16.0;45.3736317,4.7981191
